Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
1,AFGHANISTAN,"1,82,344.16",0.2169,"2,20,362.72",0.2606,"1,92,084.44",0.1689,"2,42,911.61",0.1657,"2,56,913.51",0.1572,"2,87,887.63",0.1511,"2,58,129.99",0.1361,"3,43,603.32",0.2002,"3,39,681.55",0.1837,"4,57,689.46",0.2339,"4,99,237.48",0.2163,"7,08,458.49",0.3191,"6,10,620.02",0.2828,"4,12,904.21",0.1312,"3,49,497.81",0.0965,"2,94,271.23",0.0813,"52,978.61",0.0847
2,ALBANIA,"5,589.70",0.0066,"4,027.54",0.0048,"5,227.48",0.0046,"6,067.02",0.0041,"9,516.13",0.0058,"11,452.04",0.006,"11,864.20",0.0063,"15,761.32",0.0092,"17,712.46",0.0096,"18,899.84",0.0097,"25,841.91",0.0112,"31,304.91",0.0141,"34,619.48",0.016,"41,040.28",0.013,"2,82,091.42",0.0779,"9,55,574.35",0.264,"10,652.75",0.017
3,ALGERIA,"2,99,636.27",0.3564,"2,73,710.63",0.3237,"3,55,787.00",0.3129,"3,99,229.96",0.2723,"5,93,469.61",0.3631,"6,45,013.91",0.3386,"6,49,379.34",0.3424,"5,13,489.40",0.2992,"5,64,343.84",0.3051,"5,30,692.45",0.2712,"6,57,528.82",0.2849,"4,31,687.12",0.1945,"4,39,809.69",0.2037,"5,23,800.52",0.1664,"4,93,476.51",0.1363,"7,02,538.33",0.1941,"1,19,885.96",0.1916
4,AMERI SAMOA,58.26,0.0001,40.45,0,92.93,0.0001,975.04,0.0007,198.71,0.0001,31.12,0,117.44,0.0001,100.4,0.0001,51.64,0,199.72,0.0001,18.08,0,90.71,0,433.28,0.0002,578.07,0.0002,22.64,0,"3,440.25",0.001,814.21,0.0013
5,ANDORRA,412.37,0.0005,96.49,0.0001,120.35,0.0001,125.48,0.0001,58.51,0,74.07,0,156.23,0.0001,76.71,0,97.23,0.0001,"3,076.34",0.0016,231.83,0.0001,55.29,0,15.16,0,36.8,0,181.19,0.0001,262.29,0.0001,,
6,ANGOLA,"1,70,381.68",0.2027,"3,00,573.43",0.3555,"3,06,051.00",0.2692,"2,20,531.54",0.1504,"2,65,962.37",0.1627,"3,26,612.13",0.1714,"3,37,765.80",0.1781,"1,45,440.44",0.0847,"1,03,721.20",0.0561,"1,51,360.51",0.0774,"1,97,413.38",0.0855,"2,01,921.52",0.091,"1,92,123.42",0.089,"3,37,797.68",0.1073,"4,99,169.47",0.1378,"5,78,303.97",0.1598,"62,785.79",0.1004
7,ANGUILLA,39.04,0,23.2,0,77.08,0.0001,54.4,0,78.77,0,14.34,0,30.46,0,10.39,0,28.28,0,324.08,0.0002,113.38,0,31.68,0,37.51,0,67.78,0,33.96,0,219.75,0.0001,18.51,0
8,ANTARTICA,,,47.57,0.0001,76.99,0.0001,30.87,0,92.58,0.0001,36.87,0,2.26,0,0.92,0,,,64.65,0,2.34,0,15.09,0,768.86,0.0004,56.01,0,83.86,0,215.44,0.0001,3.17,0
9,ANTIGUA,"1,314.82",0.0016,692.58,0.0008,429.26,0.0004,417.89,0.0003,738.06,0.0005,"1,339.51",0.0007,"1,278.97",0.0007,"1,680.01",0.001,"1,327.55",0.0007,"1,394.67",0.0007,"1,886.81",0.0008,"1,549.69",0.0007,"1,191.35",0.0006,"1,846.21",0.0006,"2,339.83",0.0006,"12,341.80",0.0034,805.82,0.0013
10,ARGENTINA,"1,60,966.71",0.1915,"1,27,646.97",0.151,"1,84,270.42",0.1621,"2,27,644.41",0.1553,"2,94,094.08",0.1799,"3,70,833.15",0.1947,"2,81,084.40",0.1482,"3,50,982.49",0.2045,"3,42,382.01",0.1851,"4,56,702.56",0.2334,"3,91,032.85",0.1694,"5,42,861.50",0.2445,"5,08,761.93",0.2356,"10,66,132.05",0.3388,"7,66,711.04",0.2117,"8,99,051.77",0.2484,"1,45,477.44",0.2325
